filename,r,g,b,class
train/apples/apple_0.jpg,125,27,18,0
train/apples/apple_10.jpg,187,49,39,0
train/apples/apple_100.jpg,255,255,255,0
train/apples/apple_1000.jpg,255,255,255,0
train/apples/apple_1001.jpg,180,64,77,0
train/apples/apple_1002.jpg,255,255,255,0
train/apples/apple_1003.jpg,123,23,31,0
train/apples/apple_1004.jpg,255,255,255,0
train/apples/apple_1005.jpg,255,255,255,0
train/apples/apple_1006.jpg,255,255,255,0
train/apples/apple_1007.jpg,255,255,255,0
train/apples/apple_1008.jpg,197,88,91,0
train/apples/apple_1009.jpg,161,33,22,0
train/apples/apple_1010.jpg,195,41,53,0
train/apples/apple_1011.jpg,161,43,43,0
train/apples/apple_1012.jpg,131,27,36,0
train/apples/apple_1013.jpg,255,255,255,0
train/apples/apple_1014.jpg,255,255,255,0
train/apples/apple_1015.jpg,255,255,255,0
train/apples/apple_1018.jpg,255,255,255,0
train/apples/apple_1019.jpg,255,255,255,0
train/apples/apple_1020.jpg,59,8,17,0
train/apples/apple_1021.jpg,255,255,255,0
train/apples/apple_1024.jpg,237,128,125,0
train/apples/apple_1026.jpg,255,255,255,0
train/apples/apple_1028.jpg,255,255,255,0
train/apples/apple_1029.jpg,255,255,255,0
train/apples/apple_1030.jpg,255,255,255,0
train/apples/apple_1031.jpg,255,255,255,0
train/apples/apple_1032.jpg,255,255,255,0
train/apples/apple_1033.jpg,255,255,255,0
train/apples/apple_1036.jpg,255,255,255,0
train/apples/apple_1037.jpg,187,51,61,0
train/apples/apple_1038.jpg,255,255,255,0
train/apples/apple_104.jpg,255,255,255,0
train/apples/apple_1041.jpg,255,255,255,0
train/apples/apple_1042.jpg,255,255,255,0
train/apples/apple_1043.jpg,206,96,95,0
train/apples/apple_1045.jpg,158,56,54,0
train/apples/apple_1046.jpg,154,75,78,0
train/apples/apple_1048.jpg,162,35,26,0
train/apples/apple_1049.jpg,255,255,255,0
train/apples/apple_105.jpg,255,255,255,0
train/apples/apple_1050.jpg,252,251,255,0
train/apples/apple_1051.jpg,255,255,255,0
train/apples/apple_1054.jpg,94,51,61,0
train/apples/apple_1055.jpg,255,255,255,0
train/apples/apple_1056.jpg,190,59,65,0
train/apples/apple_1057.jpg,255,255,255,0
train/apples/apple_1058.jpg,255,255,255,0
train/apples/apple_1059.jpg,255,255,255,0
train/apples/apple_106.jpg,185,38,28,0
train/apples/apple_1061.jpg,184,54,54,0
train/apples/apple_1062.jpg,255,255,255,0
train/apples/apple_1064.jpg,157,62,60,0
train/apples/apple_1065.jpg,133,37,39,0
train/apples/apple_1067.jpg,255,255,255,0
train/apples/apple_1068.jpg,255,255,255,0
train/apples/apple_1069.jpg,255,255,255,0
train/apples/apple_1070.jpg,174,39,33,0
train/apples/apple_1071.jpg,255,255,255,0
train/apples/apple_1072.jpg,255,255,255,0
train/apples/apple_1073.jpg,255,255,255,0
train/apples/apple_1074.jpg,255,255,255,0
train/apples/apple_1075.jpg,255,255,255,0
train/apples/apple_1076.jpg,255,255,255,0
train/apples/apple_1077.jpg,203,98,105,0
train/apples/apple_1078.jpg,169,62,54,0
train/apples/apple_108.jpg,159,55,54,0
train/apples/apple_1085.jpg,176,79,63,0
train/apples/apple_1087.jpg,242,176,164,0
train/apples/apple_1089.jpg,255,255,255,0
train/apples/apple_109.jpg,154,75,78,0
train/apples/apple_1093.jpg,160,33,24,0
train/apples/apple_1094.jpg,255,255,255,0
train/apples/apple_1096.jpg,255,255,255,0
train/apples/apple_1097.jpg,159,71,70,0
train/apples/apple_11.jpg,255,255,255,0
train/apples/apple_1100.jpg,255,255,255,0
train/apples/apple_1103.jpg,101,16,9,0
train/apples/apple_1106.jpg,147,53,54,0
train/apples/apple_1107.jpg,255,255,255,0
train/apples/apple_111.jpg,250,250,250,0
train/apples/apple_1110.jpg,255,255,255,0
train/apples/apple_1111.jpg,255,255,255,0
train/apples/apple_1113.jpg,255,255,255,0
train/apples/apple_1114.jpg,255,255,255,0
train/apples/apple_112.jpg,245,248,253,0
train/apples/apple_1120.jpg,255,255,255,0
train/apples/apple_1124.jpg,161,32,26,0
train/apples/apple_1125.jpg,204,113,95,0
train/apples/apple_1126.jpg,195,65,67,0
train/apples/apple_1127.jpg,214,125,91,0
train/apples/apple_113.jpg,255,255,255,0
train/apples/apple_1132.jpg,255,255,255,0
train/apples/apple_1133.jpg,159,43,44,0
train/apples/apple_1134.jpg,133,26,36,0
train/apples/apple_1135.jpg,255,255,255,0
train/apples/apple_1136.jpg,255,255,255,0
train/apples/apple_1137.jpg,255,255,255,0
train/apples/apple_1139.jpg,255,255,255,0
train/apples/apple_1140.jpg,255,255,255,0
train/apples/apple_1142.jpg,255,255,255,0
train/apples/apple_1143.jpg,255,255,255,0
train/apples/apple_1144.jpg,255,255,255,0
